Word,PhonDISC,num_sylls_est,num_homophones,neighborhood_size,p_normalized,meanings,num_phones,normalized_surprisal
ankle,{NkP,1,0,3,5.940273490337579e-06,1,4,1.7623479275201106
annals,{nPz,1,0,0,4.126638159919677e-06,1,4,1.8019004401436842
ant,{nt,1,0,11,0.0001449602371113,1,3,1.8873164199140673
ape,1p,1,1,19,0.0001693978805405,2,2,2.7971450890971483
apple,{pP,1,0,7,2.0052152461804253e-05,1,3,2.173679050813831
apse,{ps,1,0,9,6.89941768292261e-05,1,3,1.9947952376708844
apt,{pt,1,0,6,2.303635712616125e-05,1,3,2.153594782598459
arc,#k,1,2,19,0.0005010187639586,3,2,2.5616720796258745
arch,#J,1,2,14,3.0217340631848536e-05,3,2,3.171470955080402
are,#R,1,4,19,0.0001635708835617,5,2,2.8047460754166313
arm,#m,1,1,20,0.0002676583044385,2,2,2.697808713992369
armed,#md,1,0,5,1.702258176669474e-05,1,3,2.1973909071647335
arse,#s,1,0,18,9.274764021772158e-05,1,2,2.9279476408982315
arson,#sH,1,0,5,6.601916081120113e-06,1,3,2.334509383621649
art,#t,1,0,27,0.0002670119405915,1,2,2.698333733649589
arts,#ts,1,0,8,1.821020453139633e-05,1,3,2.1876277755888935
